Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_130_562,VSS,Metal1,291.6060,514.5400,0.000002
FILLER_130_555,VSS,Metal1,288.2460,514.5400,0.000002
FILLER_130_548,VSS,Metal1,284.8860,514.5400,0.000002
FILLER_130_541,VSS,Metal1,281.5260,514.5400,0.000002
FILLER_130_534,VSS,Metal1,278.1660,514.5400,0.000002
FILLER_130_527,VSS,Metal1,274.8060,514.5400,0.000002
FILLER_130_520,VSS,Metal1,271.4460,514.5400,0.000002
FILLER_130_513,VSS,Metal1,268.0860,514.5400,0.000002
FILLER_130_506,VSS,Metal1,264.7260,514.5400,0.000002
FILLER_130_499,VSS,Metal1,261.3660,514.5400,0.000032
FILLER_130_492,VSS,Metal1,258.0060,514.5400,0.000039
FILLER_130_485,VSS,Metal1,254.6460,514.5400,0.000041
FILLER_130_471,VSS,Metal1,246.4800,514.0800,0.000126
FILLER_130_449,VSS,Metal1,235.9200,514.0800,0.000133
FILLER_130_447,VSS,Metal1,235.2000,514.0800,0.000136
FILLER_130_405,VSS,Metal1,215.0400,514.0800,0.000213
FILLER_130_398,VSS,Metal1,212.8860,514.5400,0.000213
FILLER_130_393,VSS,Metal1,209.0400,514.0800,0.000212
FILLER_130_389,VSS,Metal1,207.8280,514.4560,0.000212
FILLER_130_382,VSS,Metal1,205.2060,514.5400,0.000193
FILLER_130_375,VSS,Metal1,201.8460,514.5400,0.000191
FILLER_130_368,VSS,Metal1,198.4860,514.5400,0.000188
FILLER_130_361,VSS,Metal1,195.1260,514.5400,0.000187
FILLER_130_354,VSS,Metal1,191.7660,514.5400,0.000018
FILLER_130_347,VSS,Metal1,188.4060,514.5400,0.000019
FILLER_130_341,VSS,Metal1,184.0800,514.0800,0.000032
FILLER_130_330,VSS,Metal1,180.2460,514.5400,0.000033
FILLER_130_323,VSS,Metal1,176.8860,514.5400,0.000065
FILLER_130_307,VSS,Metal1,168.0000,514.0800,0.000102
FILLER_130_300,VSS,Metal1,165.8460,514.5400,0.000109
FILLER_130_269,VSS,Metal1,150.2280,514.4560,0.000139
FILLER_130_262,VSS,Metal1,147.6060,514.5400,0.000139
FILLER_130_255,VSS,Metal1,144.2460,514.5400,0.000139
FILLER_130_248,VSS,Metal1,140.8860,514.5400,0.000139
FILLER_130_241,VSS,Metal1,137.5260,514.5400,0.000139
FILLER_130_234,VSS,Metal1,134.1660,514.5400,0.000139
FILLER_130_227,VSS,Metal1,130.8060,514.5400,0.000139
FILLER_130_220,VSS,Metal1,127.4460,514.5400,0.000139
FILLER_130_214,VSS,Metal1,123.3600,514.0800,0.000139
FILLER_130_210,VSS,Metal1,121.9080,514.4560,0.000139
FILLER_130_203,VSS,Metal1,119.2860,514.5400,0.000010
FILLER_130_196,VSS,Metal1,115.9260,514.5400,0.000010
FILLER_130_168,VSS,Metal1,101.0400,514.0800,0.000012
FILLER_130_164,VSS,Metal1,99.8280,514.4560,0.000012
FILLER_130_112,VSS,Metal1,74.1600,514.0800,0.000022
FILLER_130_105,VSS,Metal1,72.2460,514.5400,0.000021
FILLER_130_98,VSS,Metal1,68.8860,514.5400,0.000019
FILLER_130_91,VSS,Metal1,65.5260,514.5400,0.000017
FILLER_130_84,VSS,Metal1,62.1660,514.5400,0.000015
FILLER_130_77,VSS,Metal1,58.8060,514.5400,0.000013
FILLER_130_70,VSS,Metal1,55.4460,514.5400,0.000012
FILLER_130_63,VSS,Metal1,52.0860,514.5400,0.000010
FILLER_130_56,VSS,Metal1,48.7260,514.5400,0.000008
FILLER_130_49,VSS,Metal1,45.3660,514.5400,0.000006
FILLER_130_42,VSS,Metal1,42.0060,514.5400,0.000004
FILLER_130_35,VSS,Metal1,38.6460,514.5400,0.000003
FILLER_130_28,VSS,Metal1,35.2860,514.5400,0.000003
FILLER_130_21,VSS,Metal1,31.9260,514.5400,0.000003
FILLER_130_14,VSS,Metal1,28.5660,514.5400,0.000003
FILLER_130_7,VSS,Metal1,25.2060,514.5400,0.000003
FILLER_130_0,VSS,Metal1,21.8460,514.5400,0.000003
FILLER_129_1060,VSS,Metal1,529.2000,514.0800,0.000005
FILLER_129_1056,VSS,Metal1,527.9880,513.7030,0.000005
FILLER_129_1049,VSS,Metal1,525.3660,513.6190,0.000005
FILLER_129_1042,VSS,Metal1,522.0060,513.6190,0.000005
FILLER_129_1035,VSS,Metal1,518.6460,513.6190,0.000005
FILLER_129_1028,VSS,Metal1,515.2860,513.6190,0.000005
FILLER_129_1021,VSS,Metal1,511.9260,513.6190,0.000005
FILLER_129_1014,VSS,Metal1,508.5660,513.6190,0.000005
FILLER_129_1007,VSS,Metal1,505.2060,513.6190,0.000005
FILLER_129_1000,VSS,Metal1,501.8460,513.6190,0.000005
FILLER_129_993,VSS,Metal1,498.4860,513.6190,0.000005
FILLER_129_986,VSS,Metal1,495.1260,513.6190,0.000005
FILLER_129_979,VSS,Metal1,491.7660,513.6190,0.000007
FILLER_129_972,VSS,Metal1,487.2000,514.0800,0.000008
FILLER_129_966,VSS,Metal1,484.3200,514.0800,0.000008
FILLER_129_941,VSS,Metal1,472.0800,514.0800,0.000010
FILLER_129_939,VSS,Metal1,471.3600,514.0800,0.000010
FILLER_129_932,VSS,Metal1,469.2060,513.6190,0.000011
FILLER_129_918,VSS,Metal1,461.0400,514.0800,0.000012
FILLER_129_909,VSS,Metal1,456.7200,514.0800,0.000012
FILLER_129_900,VSS,Metal1,452.4000,514.0800,0.000012
FILLER_129_898,VSS,Metal1,451.6800,514.0800,0.000013
FILLER_129_887,VSS,Metal1,446.4000,514.0800,0.000020
FILLER_129_881,VSS,Metal1,443.2800,514.0800,0.000020
FILLER_129_874,VSS,Metal1,441.3660,513.6190,0.000020
FILLER_129_844,VSS,Metal1,425.5200,514.0800,0.000024
FILLER_129_842,VSS,Metal1,424.8000,514.0800,0.000024
FILLER_129_804,VSS,Metal1,407.7660,513.6190,0.000023
FILLER_129_790,VSS,Metal1,399.6000,514.0800,0.000022
FILLER_129_788,VSS,Metal1,398.8800,514.0800,0.000022
FILLER_129_781,VSS,Metal1,396.7260,513.6190,0.000022
FILLER_129_747,VSS,Metal1,379.2000,514.0800,0.000018
FILLER_129_743,VSS,Metal1,377.7480,513.7030,0.000018
FILLER_129_710,VSS,Metal1,361.2000,514.0800,0.000015
FILLER_129_708,VSS,Metal1,360.4800,514.0800,0.000015
FILLER_129_701,VSS,Metal1,358.3260,513.6190,0.000015
FILLER_129_670,VSS,Metal1,342.2400,514.0800,0.000008
FILLER_129_663,VSS,Metal1,340.0860,513.6190,0.000046
FILLER_129_606,VSS,Metal1,311.5200,514.0800,0.000016
FILLER_129_602,VSS,Metal1,310.0680,513.7030,0.000016
FILLER_129_595,VSS,Metal1,307.4460,513.6190,0.000016
FILLER_129_587,VSS,Metal1,302.1600,514.0800,0.000002
FILLER_129_585,VSS,Metal1,301.4400,514.0800,0.000002
FILLER_129_578,VSS,Metal1,299.2860,513.6190,0.000002
FILLER_129_571,VSS,Metal1,295.9260,513.6190,0.000002
FILLER_129_564,VSS,Metal1,292.5660,513.6190,0.000002
FILLER_129_557,VSS,Metal1,289.2060,513.6190,0.000002
FILLER_129_550,VSS,Metal1,285.8460,513.6190,0.000002
FILLER_129_543,VSS,Metal1,282.4860,513.6190,0.000002
FILLER_129_536,VSS,Metal1,279.1260,513.6190,0.000002
FILLER_129_529,VSS,Metal1,275.7660,513.6190,0.000002
FILLER_129_522,VSS,Metal1,272.4060,513.6190,0.000002
FILLER_129_515,VSS,Metal1,269.0460,513.6190,0.000002
FILLER_129_508,VSS,Metal1,265.6860,513.6190,0.000002
FILLER_129_493,VSS,Metal1,257.0400,514.0800,0.000039
FILLER_129_447,VSS,Metal1,234.9600,514.0800,0.000136
FILLER_129_443,VSS,Metal1,233.7480,513.7030,0.000136
FILLER_129_437,VSS,Metal1,230.1600,514.0800,0.000145
FILLER_129_431,VSS,Metal1,227.2800,514.0800,0.000146
FILLER_129_429,VSS,Metal1,226.5600,514.0800,0.000146
FILLER_129_365,VSS,Metal1,197.0460,513.6190,0.000187
FILLER_129_357,VSS,Metal1,192.4680,513.7030,0.000019
FILLER_129_350,VSS,Metal1,189.8460,513.6190,0.000018
FILLER_129_330,VSS,Metal1,179.5080,513.7030,0.000033
FILLER_129_306,VSS,Metal1,167.2800,514.0800,0.000109
FILLER_129_304,VSS,Metal1,166.5600,514.0800,0.000109
