net,length_um
_03516_,182.9µm
clknet_leaf_6_clkA,182.735µm
net407,182.65µm
net808,182.14µm
net467,182.09µm
_07775_,181.87µm
net746,181.84µm
net730,181.835µm
net238,181.62µm
u_LMS.x_r\[0\]\[3\],181.58µm
clknet_leaf_16_clkA,181.52µm
_02767_,181.515µm
clknet_leaf_4_clkA,181.28µm
coeff_force_packed\[58\],181.225µm
u_FIR.w\[7\]\[0\],181.2µm
net8,180.85µm
net246,180.845µm
net809,180.755µm
net324,180.74µm
clknet_leaf_3_clkA,180.275µm
net772,179.85µm
clknet_leaf_53_clkA,179.835µm
clknet_leaf_45_clkA,179.505µm
clknet_leaf_81_clkA,179.49µm
net602,179.34µm
net943,178.795µm
net644,178.425µm
net604,178.415µm
clknet_leaf_30_clkA,178.33µm
clknet_leaf_27_clkA,178.215µm
u_FIR.w\[6\]\[6\],178.15µm
net32,178.045µm
net159,178.02µm
clknet_leaf_25_clkA,177.745µm
net819,177.65µm
clknet_leaf_79_clkA,177.53µm
net858,177.49µm
net115,177.475µm
net635,177.47µm
u_LMS.x_r\[5\]\[1\],177.43µm
net27,177.335µm
_03428_,177.325µm
net175,177.315µm
net575,177.175µm
net1005,176.695µm
net616,176.685µm
net627,176.485µm
clknet_leaf_43_clkA,176.475µm
u_FIR.w\[4\]\[2\],176.37µm
u_debug_unit.mon_w5_sync\[2\],176.28µm
net411,176.015µm
clknet_leaf_41_clkA,175.965µm
net584,175.79µm
net370,175.605µm
net775,175.35µm
_10879_,175.265µm
clknet_leaf_55_clkA,175.05µm
_07834_,174.77µm
u_debug_unit.mon_w5_sync\[5\],174.67µm
net25,174.5µm
net52,174.45µm
net548,174.45µm
u_FIR.w\[0\]\[0\],174.415µm
net825,174.37µm
net620,174.3µm
net939,174.225µm
net306,174.09µm
net178,174.02µm
net976,173.99µm
_03221_,173.89µm
net628,173.86µm
net680,173.84µm
net744,173.435µm
net60,173.005µm
net622,172.905µm
net983,172.865µm
net138,172.71µm
_10229_,172.7µm
net1008,172.565µm
net601,172.43µm
clknet_leaf_18_clkA,172.235µm
net654,172.155µm
clknet_leaf_1_clkA,172.12µm
_10183_,171.97µm
net54,171.715µm
net815,171.695µm
net59,171.65µm
net50,171.43µm
spi_wr_en,171.33µm
net240,171.205µm
net768,171.08µm
net828,170.935µm
net531,170.585µm
net449,170.58µm
_03367_,170.565µm
net989,170.53µm
net673,170.485µm
_07753_,170.435µm
_03240_,170.34µm
net270,170.3µm
net658,170.225µm
clknet_leaf_67_clkA,169.9µm
u_LMS.x_r\[5\]\[0\],169.885µm
net10,169.81µm
net320,169.05µm
net713,168.815µm
u_debug_unit.mon_w5_sync\[3\],168.73µm
net219,168.645µm
net964,168.54µm
_03058_,168.19µm
clknet_leaf_28_clkA,167.71µm
net244,167.615µm
_01094_,167.395µm
coeff_force_packed\[38\],167.13µm
clknet_leaf_68_clkA,167.09µm
net19,166.975µm
u_LMS.x_r\[3\]\[3\],166.62µm
clknet_leaf_33_clkA,166.485µm
_07844_,166.44µm
net727,165.855µm
_03249_,165.79µm
net776,165.715µm
_03066_,165.34µm
net894,165.32µm
_03220_,165.055µm
net88,165.01µm
net509,164.805µm
net711,164.605µm
net700,164.395µm
net468,164.39µm
u_LMS.x_r\[0\]\[4\],164.35µm
net310,164.29µm
clknet_leaf_19_clkA,163.87µm
net830,163.69µm
net385,163.615µm
net209,163.59µm
net969,163.545µm
net678,163.125µm
_02757_,162.8µm
net1027,162.795µm
net461,162.75µm
net497,162.69µm
net693,162.63µm
net589,162.34µm
net114,162.275µm
net305,162.115µm
net12,162.105µm
clknet_leaf_72_clkA,161.995µm
net44,161.745µm
net841,161.7µm
_03261_,161.685µm
u_debug_unit.mon_w5_sync\[1\],161.67µm
_02304_,161.23µm
coeff_force_packed\[9\],161.01µm
net1011,160.585µm
net767,160.465µm
net583,160.275µm
u_FIR.w\[4\]\[3\],159.955µm
net438,159.345µm
net237,159.195µm
net318,158.675µm
net148,158.61µm
net426,158.54µm
net11,158.515µm
net145,158.38µm
_09679_,158.28µm
net915,158.02µm
_03222_,157.425µm
coeff_force_packed\[8\],157.15µm
net664,156.885µm
net986,156.835µm
_07765_,156.79µm
_07923_,156.61µm
u_debug_unit.mon_w6_sync\[1\],156.5µm
_07918_,156.24µm
net859,156.205µm
net1026,155.805µm
net672,155.75µm
net773,155.74µm
net435,155.725µm
net724,155.55µm
_02276_,155.335µm
net193,155.3µm
net1028,155.255µm
net29,155.245µm
net599,155.135µm
net668,154.95µm
net805,154.715µm
_08550_,154.62µm
u_LMS.x_r\[3\]\[2\],154.62µm
clknet_leaf_62_clkA,154.415µm
net722,154.31µm
net999,154.3µm
net538,154.05µm
net615,154.015µm
u_debug_unit.mon_w6_sync\[6\],153.57µm
net489,153.335µm
net143,153.265µm
net712,153.235µm
u_LMS.x_r\[3\]\[1\],153.07µm
_03067_,153.05µm
_03301_,152.89µm
u_FIR.w\[0\]\[1\],152.78µm
coeff_force_packed\[4\],152.705µm
clknet_leaf_40_clkA,152.575µm
clknet_leaf_20_clkA,152.08µm
net207,152.015µm
net953,151.635µm
net934,151.33µm
net34,151.325µm
_07814_,150.97µm
net1023,150.94µm
net313,150.91µm
u_LMS.w\[1\]\[24\],150.885µm
u_FIR.w\[4\]\[4\],150.8µm
net708,150.665µm
_03441_,150.315µm
net756,150.27µm
_03248_,150.205µm
net694,150.035µm
spi_wdata\[3\],149.685µm
u_LMS.x_r\[8\]\[2\],149.17µm
net748,149.09µm
net518,148.755µm
u_FIR.w\[3\]\[4\],148.725µm
net1039,148.62µm
net58,148.59µm
net431,148.585µm
net834,148.55µm
net1021,148.48µm
u_LMS.x_r\[3\]\[0\],148.1µm
net993,147.93µm
u_LMS.x_r\[6\]\[7\],147.755µm
u_FIR.w\[3\]\[3\],147.745µm
net639,147.45µm
clknet_leaf_49_clkA,147.275µm
u_FIR.w\[6\]\[5\],147.19µm
net105,147.19µm
net572,147.185µm
u_FIR.w\[2\]\[6\],147.05µm
net750,146.845µm
net545,146.825µm
net728,146.74µm
net1004,146.605µm
net922,146.37µm
net674,146.3µm
net578,145.96µm
_07934_,145.75µm
net504,145.645µm
net955,145.545µm
net506,145.395µm
_03264_,145.015µm
net31,144.97µm
net22,144.815µm
net769,144.76µm
clknet_leaf_51_clkA,144.645µm
net1018,144.615µm
net813,144.61µm
_03375_,144.4µm
net618,144.305µm
_10181_,144.28µm
net682,144.265µm
clknet_leaf_37_clkA,143.8µm
_07755_,143.77µm
_07832_,143.75µm
net812,143.705µm
_03568_,143.64µm
net1000,143.505µm
net945,143.46µm
net568,143.195µm
net20,143.09µm
u_FIR.w\[8\]\[3\],142.91µm
net710,142.895µm
net443,142.88µm
_03472_,142.68µm
net4,142.46µm
spi_wdata\[0\],142.195µm
net598,142.045µm
net444,142.015µm
net289,141.935µm
net28,141.91µm
net30,141.9µm
clknet_3_0__leaf_spi_sclk,141.685µm
net701,141.385µm
net595,141.235µm
